A,B,C,D,E,F,G,H
1973,2,14,223614.6,37.04,141.51,5.1,56
1973,2,15,1553.7,11.53,-86.47,5.1,33
1973,2,15,53119.5,-4.34,103.09,5.4,107
1973,2,15,74327.4,5.99,-82.37,5.3,33
1973,2,15,75426.9,-36.11,-101.02,5.3,33
1973,2,15,131510.7,-30.25,-177.44,5.4,44
1973,2,16,45101.4,-15.31,-173.32,5.8,50
1973,2,16,50257.7,49.83,78.23,5.6,0
1973,2,16,92151.5,-63.32,-62.36,5.1,33
1973,2,16,115418.8,-30.22,-177.19,5.1,42
1973,2,16,134708,6.78,94.29,5.1,27
1973,2,16,233832.8,-6.08,148.61,5.5,78
1973,2,17,160245.5,16.95,-61.42,5.5,34
1973,2,17,191511.4,45.21,148.57,5.3,113
1973,2,18,34511,-7.31,128.36,5.5,78
1973,2,18,34852.9,-36.69,-17.2,5.6,33
1973,2,18,180927.2,-30.23,-177.61,5.7,49
1973,2,19,71416,17.08,145.7,5.1,168
1973,2,19,84252.1,-45.54,35.13,5.6,33
1973,2,19,200711.9,-57.51,-140.95,5.4,33
1973,2,20,11440.7,-62.5,166.27,5.7,33
1973,2,20,74034.7,58.31,-149.81,5.5,12
1973,2,20,151951.7,-16.67,27.94,5,33
1973,2,20,192336.7,-2.54,152.93,5,42
1973,2,20,220519.6,-62.59,167.45,5.4,33
1973,2,21,121447.2,-5.25,151.51,5.3,90
1973,2,21,144223.4,-39.58,176.57,5.1,38
1973,2,21,144557.3,34.06,-119.04,5.9,8
1973,2,22,3020.3,14.48,-91.64,5.2,107
1973,2,22,162232.2,-4.62,151.83,5.3,154
1973,2,23,3333.2,-11.06,164.4,5.1,33
1973,2,23,42623.3,-2.09,-78.21,5.8,67
1973,2,23,64125.5,-2.05,-78.19,5,89
1973,2,23,110823.9,-7,150.02,5.2,21
1973,2,23,205731,-23.9,-179.97,5,518
1973,2,24,240.1,28.58,52.62,5.2,27
1973,2,24,10611.3,-15.41,-173.28,5.3,33
1973,2,24,35643.5,-15.17,-173.44,5.2,33
1973,2,24,73827,-19.19,168.74,6,59
1973,2,25,53555.4,-61.04,-37.88,6.4,33
1973,2,25,103139.5,-1.7,99.68,5.9,33
1973,2,25,200506.7,-10.91,164.34,5.2,33
1973,2,26,81657.6,49.41,155.62,5,46
1973,2,26,95622.2,4.06,126.49,5,82
1973,2,26,105327.6,5.7,127.04,5.2,74
1973,2,26,185245.4,-22.15,-69.01,5.1,67
1973,2,26,215730,-1.76,99.66,5.3,33
1973,2,27,90857,6.16,127.06,5.2,68
1973,2,27,140550,6.82,-73,5,162
1973,2,27,144936.9,-1.75,99.66,5,33
1973,2,28,63749.5,50.49,156.58,7.2,27
1973,2,28,65039.7,50.11,156.93,5.3,33
1973,2,28,65538.7,50.08,156.94,5.5,48
1973,2,28,70727.6,-5.35,153.16,5.4,25
1973,2,28,80734.7,9.55,126.13,5.3,81
1973,2,28,113242.6,50.12,156.92,5.2,48
1973,2,28,230759,-0.21,124.39,5.5,87
1973,3,1,21903.1,49.88,157.29,5.5,30
1973,3,1,95902.6,-13.39,166.93,5,131
1973,3,1,185931.1,-22,-114.07,5,33
1973,3,3,4436.4,3.59,126.29,5.1,112
1973,3,3,14341.8,24.99,128.2,5.3,33
1973,3,3,24209,50.44,156.28,5.5,59
1973,3,3,52044.4,-55.32,-28.58,5.5,33
1973,3,3,54026.4,8.94,137.88,5.3,49
1973,3,4,141215.7,-7.32,-13.31,5.1,33
1973,3,4,175743.5,54.83,161.6,6.3,32
1973,3,5,34217.7,-55.69,-26.92,5.4,33
1973,3,5,232026,6.15,126.85,5.3,84
1973,3,6,35840.2,18.11,120.71,5.1,98
1973,3,6,145023.2,-15.26,-71.24,5.2,162
1973,3,6,155149.2,-5.72,152.84,5.1,28
1973,3,6,183205.1,49.98,156.79,5,33
1973,3,6,221932.7,27.54,-112.45,5.1,33
1973,3,7,70738.8,36.47,71.52,5,78
1973,3,7,82502.9,-30.97,-179,5,114
1973,3,7,125455.6,-33.49,-179.63,5.6,6
1973,3,8,102329.8,-57.91,-25.25,5.2,33
1973,3,8,143518.4,-23.02,-175.59,5.6,33
1973,3,8,161000.2,37.1,-116.03,5.4,0
1973,3,9,100637.7,6.27,127.34,6,55
1973,3,9,152708.6,-3.06,139.1,5.3,50
1973,3,9,190912.8,-34.13,150.27,5.5,13
1973,3,10,13111.7,-21.87,127.32,5.3,33
1973,3,10,30918.2,-22.04,127.47,5.2,33
1973,3,10,95000.3,-15.18,-173.52,5.6,8
1973,3,10,180756.2,-23.06,-175.4,5.2,33
1973,3,10,193718.8,0.11,123.38,5,173
1973,3,11,73741.4,6.84,-73.04,5,156
1973,3,11,104006.2,-16.57,28,5.1,33
1973,3,11,133747.3,41.59,142.01,5.5,73
1973,3,11,160414.6,-21.67,127.47,5,33
1973,3,12,55702,-9.41,111.14,5.4,38
1973,3,12,111423.6,50.1,156.74,5.7,49
1973,3,12,123902,4.18,126.49,5.5,37
1973,3,12,193921,50.83,157.1,6.2,54
1973,3,13,14243.6,-5.45,154.21,5.5,170
1973,3,13,200108.4,-6.35,153.07,5.3,35
1973,3,14,60730.8,-62.47,165.27,5.8,36
1973,3,14,112546.7,-5.32,152.15,5.8,64
1973,3,15,83020.5,-15.49,-175.26,5.3,33
1973,3,15,175839.4,13.94,120.36,5.2,113
1973,3,16,5147,2.09,126.64,6.3,18
1973,3,16,10048,2.17,126.5,5.4,33
1973,3,16,10907.4,2.04,126.39,5.2,33
1973,3,16,21223.3,2.01,126.55,5.5,47
1973,3,16,34042,2.06,126.4,5.6,33
1973,3,16,215001.1,37.04,141.57,5.1,40
1973,3,17,45712.7,-19.38,169.36,6,194
1973,3,17,83051.8,13.37,122.79,7.5,33
1973,3,17,154048,-5.19,103.24,5.7,68
1973,3,17,163849.3,-6.83,102.07,5.2,60
1973,3,18,22241.6,-32.88,179.66,5.1,33
1973,3,18,110614.7,2.03,126.58,6.5,33
1973,3,18,112343.8,2.15,126.79,5.2,32
1973,3,18,120403.5,1.85,126.21,5.1,38
1973,3,19,64225.8,-53.23,159.21,5.5,33
1973,3,19,114107.7,52.83,173.77,5.8,81
1973,3,20,10609.8,-56.1,-27.42,5.1,33
1973,3,20,94352.2,-24.19,-179.71,5.2,419
1973,3,20,161730.7,-23.17,-66.29,5.6,203
1973,3,20,181324.8,-57.92,83.57,5.4,33
1973,3,20,190906.6,-8.27,117.38,5.7,162
1973,3,21,22421.3,50.82,157.16,5.2,55
1973,3,22,10657.2,28.14,86.99,5.2,33
1973,3,22,61028.3,22.02,100.62,5.4,33
1973,3,22,113311.5,-8.22,118.05,5,149
1973,3,22,140043.5,15.31,-61.31,5.1,156
1973,3,22,171802,-6.09,147.04,5.1,101
1973,3,22,183953.4,-6.12,148.66,5.1,70
1973,3,22,223915.5,5.95,126.32,5.1,102
1973,3,23,55059.8,-22.76,170.24,5.5,33
1973,3,23,65533.1,51.3,174.22,5.9,27
1973,3,23,191453.1,31.88,100.06,5.4,33
1973,3,23,194238.8,29.27,130.41,5.9,34
1973,3,23,213947.6,4.19,126.83,5.6,35
1973,3,24,3436.8,31.72,139.3,5.9,20
1973,3,24,54927.2,-11.17,161.59,5.1,55
1973,3,25,85615.2,50.24,156.86,5.7,40
1973,3,25,95313.3,-5.25,153.57,5.2,68
1973,3,25,200226.7,-26,27.93,5,30
1973,3,25,211709.2,-40.8,173.72,5,66
1973,3,25,220426.5,-41.37,174.49,5.7,74
1973,3,25,224202.8,25.89,-109.88,5.5,33
1973,3,26,23721.3,23.42,123.96,6,16
1973,3,26,45120.4,-41.85,-83.5,5.1,33
1973,3,26,50621.4,-41.99,-84.24,5.1,33
1973,3,26,75842.7,38.33,73.93,5.3,123
1973,3,26,83330.6,38.29,73.9,5.2,120
1973,3,26,110419,-28.05,-68.94,5.7,117
1973,3,26,145613,36.64,141.98,5.1,52
1973,3,26,173517.3,36.62,142.02,5.1,49
1973,3,26,214753.7,52.82,173.82,5,102
1973,3,27,20831.4,35.48,139.92,5,64
1973,3,27,33742.8,24.32,123.56,5,77
1973,3,27,123205,52.58,172.87,5.6,43
1973,3,27,150524.5,-6.9,129.42,5,81
1973,3,28,23958.3,44.43,-110.39,5,8
1973,3,28,33638.2,28.57,52.67,5.2,37
1973,3,28,133504.5,11.67,42.83,5,33
1973,3,28,134206.7,11.74,42.75,5.3,33
1973,3,28,141852.3,11.7,42.93,5.4,33
1973,3,28,143921.9,11.96,122.48,5.1,46
1973,3,28,145906.7,11.75,42.87,5.2,33
1973,3,28,164525.3,-4.53,141.82,5.5,81
1973,3,28,235547.3,23.34,123.76,6,33
1973,3,29,62037.6,-2.15,99.71,5.2,50
1973,3,30,652.5,76.25,5.99,5.4,33
1973,3,30,31613.1,-4.76,103.24,5.2,89
1973,3,30,34724.6,-59.92,-31.28,5.5,33
1973,3,31,3613.6,5.82,124.04,5,554
1973,3,31,203333.5,44.51,-110.49,5.1,10
1973,4,1,71237,11.66,43.03,5.9,31
1973,4,1,95044.4,17.19,-101.28,5.1,33
1973,4,2,12709,27.09,61.56,5,33
1973,4,2,164929.3,51.94,-177.4,5.2,63
1973,4,2,192500.4,7.25,-34.4,5.1,33
1973,4,3,40254.4,14.72,146.8,5,33
1973,4,3,105026.3,45.85,151.12,5,33
1973,4,3,135401.8,4.69,-75.63,6.7,158
1973,4,3,172246.3,-4.62,103.19,5.2,100
1973,4,3,200447.7,7.46,-36.26,5.1,33
1973,4,4,95450.9,-4.84,131.93,5.1,33
1973,4,4,215053.9,43.37,147.73,5.2,33
1973,4,4,235643.4,43.26,147.78,5.3,33
1973,4,5,43208.1,11.94,122.5,5.4,6
1973,4,5,52804.4,-39.62,-74.63,5,44
1973,4,5,221659.6,43.61,147.71,5.6,33
1973,4,6,156.4,43.65,147.65,5.3,33
1973,4,6,14618.2,51.42,-178.44,5,50
1973,4,6,14800.3,43.67,147.76,5.8,33
1973,4,7,30058.8,6.97,91.38,6.6,33
1973,4,7,71622.2,-21.4,-66.54,5.1,198
1973,4,7,122247.3,-58.3,-13.39,6.7,33
1973,4,7,144909.4,-57.38,-26.67,5.1,33
1973,4,7,225054.5,-20.67,-69.19,5.6,95
1973,4,8,124102,-15.78,167.22,6.4,35
1973,4,8,204846,-23.88,-177.04,5.5,122
1973,4,8,215459.2,47,152.29,5.6,104
1973,4,9,83242.1,26.82,125.3,5.4,186
1973,4,9,224957,28.9,140.71,5.2,94
1973,4,10,195555.8,-9.78,119.3,5.8,33
1973,4,11,20646.4,-2.63,138.73,5.2,48
1973,4,11,33530.3,-2.9,119.68,5,110
1973,4,11,42540.6,11.82,122.31,5,21
1973,4,11,92306.6,-0.83,127.54,5.6,33
1973,4,12,44054.9,29.59,130.51,5.1,37
1973,4,12,50318.8,41.59,142.01,5.4,73
1973,4,12,121715,49.98,155.99,5.2,55
1973,4,12,134915.8,50.89,157.44,6.5,52
1973,4,13,40356.9,5.47,126.36,5.3,30
1973,4,13,191624.4,53.97,161.74,5.1,50
1973,4,13,195414.8,-19.88,179.77,5,665
1973,4,13,223639.3,-52.46,-72.04,5.1,11
1973,4,14,83400.1,10.68,-84.76,6.5,33
1973,4,14,161742.1,6.64,124.09,5.4,23
1973,4,15,33551.9,-6.03,146.08,5.3,110
1973,4,15,61050.9,-20.61,-178.82,5.5,610
1973,4,15,94104.2,-5.79,147.25,5.2,103
1973,4,15,230211.5,-14.61,-76.09,5,34
1973,4,16,144802.8,51.12,-178.83,5.5,54
1973,4,17,33748.1,33.32,68.11,5.1,40
1973,4,17,123426.5,-4.44,134.03,6.7,33
1973,4,17,142157.9,5.83,127.1,5.1,69
1973,4,17,220949.1,50.81,157.55,5.6,41
1973,4,18,3607.4,-58.31,-13.9,5,33
1973,4,18,182726.9,-14.04,165.96,5.3,18
1973,4,19,13224.4,-20.19,168.81,5.2,36
1973,4,19,43257.6,50.01,77.72,5.4,0
1973,4,19,62104.9,-22.33,170.32,5.1,41
1973,4,19,101634.2,-4.61,134.56,5,33
1973,4,19,221839.5,-32.82,-108.84,5.2,33
1973,4,20,3310.1,-14.83,-173.14,5.3,49
1973,4,21,50948.6,-33.19,-179.14,5.3,33
1973,4,21,203035.7,-15.88,167.28,5.3,33
1973,4,21,210951.2,-6.42,144.25,5.2,29
1973,4,22,14742.1,-59.94,-27.52,5.4,95
1973,4,22,54620.9,27.67,104.07,5,33
1973,4,22,203013.8,-42.26,173.05,5.5,17
1973,4,22,212957.2,30.74,49.83,5,57
1973,4,23,132916,24,121.5,5.2,42
1973,4,23,141119.1,-34.51,179.81,5.3,33
1973,4,23,144223.1,-10.17,161.08,5,82
1973,4,23,152500.2,-33.96,-70.6,5.2,85
1973,4,23,162608.5,6.78,-73,5.3,157
1973,4,24,35233.6,7.09,126.99,5,33
1973,4,24,184231.9,5.16,-75.81,5.5,118
1973,4,24,211645.3,7.27,-82.34,5.5,33
1973,4,24,213009.9,4.96,-78.14,6.6,50
1973,4,24,224701.8,4.86,-78.18,5.3,33
1973,4,25,31652.3,37.6,72.11,5.2,136
1973,4,25,64027.7,-15.61,-175.82,5.1,350
1973,4,25,72720.1,-65.54,179.33,5.7,33
1973,4,25,142113.2,33.39,140.74,5.7,65
1973,4,25,172139.5,23.5,143.22,5,33
1973,4,25,210935.1,-45.8,34.99,5,33
1973,4,25,213437.9,-59.28,-26.1,6,67
1973,4,26,74259.5,5.08,-78.17,5.2,33
1973,4,26,143005.4,27.09,60.84,5.2,46
1973,4,26,171500.2,37.12,-116.06,5.3,0
1973,4,26,200653,-6.34,144.3,5.2,23
1973,4,26,202628,19.93,-155.1,6.2,50
1973,4,27,181749.4,-2.84,119.48,5.2,33
1973,4,28,104928.2,-4.04,102.6,5.4,82
1973,4,28,122111.7,-1.44,-79.88,5.5,109
1973,4,28,195656.9,-41.93,173.3,5.2,33
1973,4,28,203943.9,6.39,117.7,5.4,33
1973,4,29,5933.8,-6.32,129.87,5.3,126
1973,4,29,202056.1,0.36,125.24,5.5,92
1973,4,30,83907.7,-17.51,179.62,5.4,613
1973,4,30,210041,4.99,-77.96,5,23
1973,5,1,74309.1,-17.96,-178.31,5,596
1973,5,1,95331.7,-19.81,-173.83,5,33
1973,5,1,104046.9,-10.02,150.18,5.9,27
1973,5,2,12620.9,-9.98,150.18,5.6,29
1973,5,2,133945.4,-48.91,-75.84,5.2,33
1973,5,3,132631,-17.93,-178.41,5.1,600
1973,5,3,231105.7,-46.1,73.2,5.5,33
1973,5,4,112713.3,2.28,126.71,5.9,33
1973,5,4,193444.8,-5.97,129.68,5.3,175
1973,5,4,235606.1,-1.47,99.85,5.9,51
1973,5,5,13519.5,-8.15,156.41,5.4,15
1973,5,5,35226.4,37.13,141.32,5.4,41
1973,5,5,74058.1,40.89,140.31,5.1,17
1973,5,5,185320.3,-16.62,-176.96,5.5,33
1973,5,6,143928.1,43.52,132.26,5.3,497
1973,5,6,151137.8,53.93,160.49,5,57
1973,5,6,155850.6,-3.67,137.82,5.4,60
1973,5,8,4347.9,-15.72,167.83,5.2,153
1973,5,8,44456.4,-17.6,-178.93,5.3,543
1973,5,8,52222.9,-16.87,27.9,5.2,33
1973,5,8,74859.8,45.65,149.56,5.4,95
1973,5,9,140239.7,-9.86,150.35,5.1,33
1973,5,9,141720.1,1.57,128.52,5.2,57
1973,5,10,75507.6,-25.64,-70.43,5.2,44
1973,5,10,113931.5,51.37,-179.52,5.3,61
1973,5,10,175053.1,19.01,-104.76,5,33
1973,5,11,822,79.4,3.08,5,33
1973,5,11,104525.4,0.98,126.03,5.4,24
1973,5,11,135231.7,33.35,57.38,5.1,50
1973,5,11,194741.9,-0.08,129.3,5.1,39
1973,5,11,230902.6,-55.79,-28.32,5.1,33
1973,5,12,54648.7,-3.24,101.24,5.5,51
1973,5,12,63554.1,12,122.5,5.1,33
1973,5,12,140502.8,-3.94,152.06,5.6,14
1973,5,12,162009.2,-3.73,152.08,6,13
1973,5,12,192934.3,-58.52,-26.63,5.3,33
1973,5,12,193645.8,-4.28,134.25,5.2,43
1973,5,12,222503.8,35.61,69.7,5.1,96
1973,5,13,13236.1,-0.93,-13.19,5.3,33
1973,5,13,111936.5,14.75,55.67,5,11
1973,5,13,125542.6,13.63,120.75,5.3,1
1973,5,13,131211.4,-23.57,-111.95,5.4,33
1973,5,13,163152.9,-23.7,-111.98,5.3,33
1973,5,14,21901.6,44.06,148.22,5.5,64
1973,5,14,171113.8,-16.65,175.87,5.8,54
1973,5,14,211547.9,-22,-179.12,5.4,501
1973,5,16,31902.9,-3,140.1,5.7,33
1973,5,16,190729.4,-22,-179.45,5,607
1973,5,16,194333.6,-2.99,127.45,5.4,33
1973,5,17,14428.9,-18.15,-174.95,5,215
1973,5,17,61746.4,44.58,149.16,5.1,33
1973,5,17,93809.9,41.03,82.19,5.5,33
1973,5,17,154419.5,33.14,140.67,5.5,62
1973,5,17,16,39.79,-108.37,5.7,0
1973,5,17,192133.9,-2.35,100.81,5.1,80
1973,5,18,103650.3,44.59,149.33,5.4,33
1973,5,18,132010.2,-6.22,151.82,5.8,34
1973,5,19,181831.4,-15.57,-73.85,5.2,79
1973,5,21,45938.6,-20.21,-177.98,5.1,550
1973,5,21,115020.5,-1.26,67.49,5,33
1973,5,21,214708.6,-6.26,104.15,5.2,87
1973,5,21,230817.6,-16.1,-172.08,5,33
1973,5,22,170525.7,-20.85,-174.02,5.2,33
1973,5,22,220458.4,-10.01,150.32,5.5,13
1973,5,23,120240.8,-56.9,-26.5,5.2,117
1973,5,24,15247.3,20.3,121.29,5,33
1973,5,24,184711.6,51.63,-173.44,5.4,43
1973,5,24,193413.5,14.71,-91.23,5.2,100
1973,5,25,162857.7,-5.53,146.38,5.2,57
1973,5,26,21535.4,37.17,141.4,5,56
1973,5,26,121934.4,51.37,-179.74,5.8,39
1973,5,27,2946,-6.27,147.02,5.2,25
1973,5,27,63813.4,-21.33,-177.93,5,422
1973,5,28,142343.8,-3.26,146.16,5,63
1973,5,28,202711.2,-18.12,65.29,5.9,33
1973,5,29,14644.9,51.69,176.24,5.7,46
1973,5,29,61422.3,54.01,-163.76,6,30
1973,5,29,111053.5,-40.47,175.49,5.2,53
1973,5,30,43801.8,-2.26,-78.52,5.7,111
1973,5,30,123954.3,-14.06,-72.79,5.1,90
1973,5,30,163222.1,-4.08,-104.11,5.1,33
1973,5,30,173351,26.31,-110.67,5,33
1973,5,31,53918.8,13.94,-90.88,5.4,99
1973,5,31,173652.9,51.34,176.3,5,10
1973,5,31,233956.7,24.28,93.55,5.9,30
1973,6,1,72257,-47.8,99.66,6.3,33
1973,6,1,82833.6,-50.07,114.28,5.3,33
1973,6,1,130301.8,25.2,98.58,5.1,33
1973,6,2,200730.5,19.58,-70.61,5.3,40
1973,6,2,235704.2,44.1,83.55,5.8,26
1973,6,4,92340.1,-23.45,-179.9,5,554
1973,6,5,20712.5,-17.3,167.8,5.2,12
1973,6,5,31225.8,-17.19,167.81,6.5,24
1973,6,5,90432.9,-17.34,167.79,5,21
1973,6,5,174040.5,-6.54,153.6,5.2,33
1973,6,6,65256.6,-6.54,147.3,5,48
1973,6,6,130000.1,37.24,-116.35,5.9,0
1973,6,6,155117.1,36.33,70.64,5.1,220
1973,6,6,164342.4,0.64,121.91,5,102
1973,6,7,24331.4,-53.93,159.4,5.8,33
1973,6,7,183242.9,14.28,-92.01,6.2,78
1973,6,7,183446.3,14.18,-91.9,5.7,70
1973,6,7,185543.4,-22.15,-176.75,5.2,220
1973,6,7,194543,14.39,-91.95,5.1,97
1973,6,8,10111.4,-17.47,167.74,5.9,21
1973,6,9,10513.9,-3.38,147.03,5,17
1973,6,9,13721.4,53.93,160.52,5.3,33
1973,6,9,15936.3,-5.4,154.18,5.2,148
1973,6,9,34309.1,44.06,151.66,5,34
